country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",04-10-2025,17.72,83.3,NO2,42,70,54
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",02-04-2024,27.103358,93.679645,NO2,4,5,5
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",15-02-2025,26.071318,91.87488,PM2.5,92,494,283
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",10-11-2024,13.67,79.35,PM2.5,25,60,39
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",20-02-2024,13.67,79.35,NO2,13,19,16
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",17-08-2024,13.615387,79.40923,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",09-04-2025,16.509717,80.612222,NH3,2,5,3
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",27-12-2025,16.509717,80.612222,SO2,10,13,11
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",11-05-2024,16.509717,80.612222,OZONE,6,38,8
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",15-12-2025,14.675886,77.593027,PM10,44,62,54
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",11-06-2024,13.20488,79.097889,PM10,33,125,72
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",03-08-2025,11.654054,92.734055,PM10,1,202,36
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",24-05-2024,11.654054,92.734055,NH3,1,3,1
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",13-01-2024,16.536107,80.594233,CO,18,36,18
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",05-03-2025,16.536107,80.594233,OZONE,2,33,6
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",24-11-2024,16.9872867,81.7363176,NH3,2,12,5
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",02-03-2024,16.536107,80.594233,PM2.5,46,374,90
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",24-03-2025,13.20488,79.097889,SO2,3,6,5
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",27-10-2024,14.465052,78.824187,SO2,14,16,15
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",08-02-2025,26.349082,92.68449,SO2,NA,NA,NA
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",25-12-2024,26.349082,92.68449,OZONE,20,57,34
